ts_ms,sma_14
1603270800000,
1603274400000,
1603278000000,
1603281600000,
1603285200000,
1603288800000,
1603292400000,
1603296000000,
1603299600000,
1603303200000,
1603306800000,
1603310400000,
1603314000000,
1603317600000,10.7529287
1603321200000,10.7810717
1603324800000,10.8167143
1603328400000,10.8509998
1603332000000,10.8858576
1603335600000,10.8983574
1603339200000,10.9053574
1603342800000,10.9141426
1603346400000,10.9130716
1603350000000,10.9289999
1603353600000,10.9548569
1603357200000,10.9836426
1603360800000,11.015357
1603364400000,11.0581427
1603368000000,11.0855713
1603371600000,11.1350718
1603375200000,11.185214
1603378800000,11.2435713
1603382400000,11.3262138
1603386000000,11.4301424
1603389600000,11.5288572
1603393200000,11.6132145
1603396800000,11.7104998
1603400400000,11.7862139
1603404000000,11.8382139
1603407600000,11.8885717
1603411200000,11.9161425
1603414800000,11.9477139
1603418400000,11.9991426
1603422000000,12.0349998
1603425600000,12.0561428
1603429200000,12.0845003
1603432800000,12.0733576
1603436400000,12.0417147
1603440000000,12.0174999
1603443600000,12.0054283
1603447200000,11.9840002
1603450800000,11.9734287
1603454400000,11.9840717
1603458000000,11.9945002
1603461600000,12.0062857
1603465200000,11.9998569
1603468800000,11.9679289
1603472400000,11.9534998
1603476000000,11.9454288
1603479600000,11.9395714
1603483200000,11.9526424
1603486800000,11.9727859
1603490400000,11.9934282
1603494000000,12.0080004
1603497600000,12.0109997
1603501200000,12.0169287
1603504800000,12.0172853
1603508400000,12.0216427
1603512000000,12.0476427
1603515600000,12.0791426
1603519200000,12.1246433
1603522800000,12.1598568
1603526400000,12.1941433
1603530000000,12.2142859
1603533600000,12.2399282
1603537200000,12.2695713
1603540800000,12.2890711
1603544400000,12.3307142
1603548000000,12.3815002
1603551600000,12.416357
1603555200000,12.4642859
1603558800000,12.5144281
1603562400000,12.5480719
1603566000000,12.5815716
1603569600000,12.6127853
1603573200000,12.639143
1603576800000,12.6660719
1603580400000,12.6918573
1603584000000,12.7130718
1603587600000,12.7263575
1603591200000,12.7521429
1603594800000,12.7533569
1603598400000,12.7562857
1603602000000,12.7342854
1603605600000,12.71
1603609200000,12.6847143
1603612800000,12.6587143
1603616400000,12.6265717
1603620000000,12.5889997
1603623600000,12.5544281
1603627200000,12.5224285
1603630800000,12.4932861
1603634400000,12.4613571
1603638000000,12.4199286
1603641600000,12.3792858
1603645200000,12.3445711
1603648800000,12.3064289
1603652400000,12.3022146
1603656000000,12.2898569
1603659600000,12.2702856
1603663200000,12.2456427
1603666800000,12.2272139
1603670400000,12.2205715
1603674000000,12.2332144
1603677600000,12.2372856
1603681200000,12.2425718
1603684800000,12.2491426
1603688400000,12.2602854
1603692000000,12.2609997
1603695600000,12.2472858
1603699200000,12.2415714
1603702800000,12.2324286
1603706400000,12.2177143
1603710000000,12.2099285
1603713600000,12.195714
1603717200000,12.1809998
1603720800000,12.1587143
1603724400000,12.1077862
1603728000000,12.0433569
1603731600000,11.9784288
1603735200000,11.9318571
1603738800000,11.8914289
1603742400000,11.8590717
1603746000000,11.8362141
1603749600000,11.808857
1603753200000,11.7764282
1603756800000,11.7621431
1603760400000,11.7403574
1603764000000,11.726429
1603767600000,11.7111425
1603771200000,11.7096424
1603774800000,11.7181425
1603778400000,11.7379999
1603782000000,11.7569284
1603785600000,11.7516432
1603789200000,11.7449999
1603792800000,11.7469997
1603796400000,11.7694283
1603800000000,11.7987146
1603803600000,11.8280001
1603807200000,11.8400002
1603810800000,11.8663568
1603814400000,11.9154282
1603818000000,11.9587145
1603821600000,11.9842854
1603825200000,12.0191431
1603828800000,12.0387144
1603832400000,12.0523567
1603836000000,12.0830717
1603839600000,12.106143
1603843200000,12.1255713
1603846800000,12.1245718
1603850400000,12.1112862
1603854000000,12.0962858
1603857600000,12.0840712
1603861200000,12.0639286
1603864800000,12.0144997
1603868400000,11.974143
1603872000000,11.9384289
1603875600000,11.8909998
1603879200000,11.8688574
1603882800000,11.8349285
1603886400000,11.797143
