ts_ms,sma_90
1624766400000,0.745565534
1624780800000,0.743165553
1624795200000,0.74071002
1624809600000,0.738120019
1624824000000,0.73607558
1624838400000,0.733985543
1624852800000,0.732001126
1624867200000,0.729728878
1624881600000,0.727756679
1624896000000,0.725335538
1624910400000,0.722673357
1624924800000,0.720211089
1624939200000,0.71783334
1624953600000,0.716145575
1624968000000,0.714196682
1624982400000,0.712333322
1624996800000,0.710288882
1625011200000,0.70798111
1625025600000,0.705734432
1625040000000,0.70349443
1625054400000,0.70114553
1625068800000,0.699035585
1625083200000,0.697244465
1625097600000,0.695117772
1625112000000,0.692770004
1625126400000,0.690842211
1625140800000,0.688937783
1625155200000,0.686816692
1625169600000,0.684894443
1625184000000,0.682522237
1625198400000,0.680230021
1625212800000,0.677836657
1625227200000,0.675616682
1625241600000,0.673553348
1625256000000,0.67148
1625270400000,0.669332206
1625284800000,0.667491138
1625299200000,0.665623307
1625313600000,0.664290011
1625328000000,0.663200021
1625342400000,0.661824465
1625356800000,0.660561085
1625371200000,0.659464419
1625385600000,0.658337772
1625400000000,0.65720886
1625414400000,0.656277776
1625428800000,0.655577779
1625443200000,0.654827774
1625457600000,0.653968871
1625472000000,0.653328896
1625486400000,0.652515531
1625500800000,0.651532233
1625515200000,0.650178909
1625529600000,0.649468899
1625544000000,0.649256647
1625558400000,0.64906776
1625572800000,0.648947775
1625587200000,0.648918867
1625601600000,0.649574459
1625616000000,0.649884462
1625630400000,0.65044111
1625644800000,0.651628911
1625659200000,0.652664423
1625673600000,0.653762221
1625688000000,0.654935539
1625702400000,0.65530777
1625716800000,0.65499109
1625731200000,0.654837787
1625745600000,0.654953361
1625760000000,0.655234456
1625774400000,0.655055583
1625788800000,0.654883325
1625803200000,0.654656649
1625817600000,0.654145539
1625832000000,0.65385443
1625846400000,0.653311133
1625860800000,0.652906656
1625875200000,0.652371109
1625889600000,0.652088881
1625904000000,0.651960015
1625918400000,0.651975572
1625932800000,0.651950002
1625947200000,0.652109981
1625961600000,0.652135551
1625976000000,0.652494431
1625990400000,0.652732193
1626004800000,0.65304333
1626019200000,0.653412223
1626033600000,0.653632224
1626048000000,0.653819978
1626062400000,0.654145539
1626076800000,0.654425561
1626091200000,0.654694438
1626105600000,0.654874444
1626120000000,0.654668868
1626134400000,0.654565573
1626148800000,0.65447557
1626163200000,0.654491127
1626177600000,0.654160023
1626192000000,0.653808892
1626206400000,0.653542221
1626220800000,0.652915537
1626235200000,0.652234435
1626249600000,0.65104109
1626264000000,0.649954438
1626278400000,0.648803353
1626292800000,0.647840023
1626307200000,0.647125542
1626321600000,0.64620775
1626336000000,0.645376682
1626350400000,0.644781113
1626364800000,0.643856645
1626379200000,0.642651141
1626393600000,0.641942203
1626408000000,0.641358912
1626422400000,0.640476644
1626436800000,0.63982445
1626451200000,0.639240026
1626465600000,0.638467789
1626480000000,0.637768865
1626494400000,0.637022197
1626508800000,0.636344433
1626523200000,0.635559976
1626537600000,0.634993315
1626552000000,0.634177804
1626566400000,0.633614421
1626580800000,0.632617772
1626595200000,0.631732225
1626609600000,0.630723357
1626624000000,0.629692197
1626638400000,0.628734469
1626652800000,0.627748907
1626667200000,0.626484454
1626681600000,0.625091136
1626696000000,0.623577774
1626710400000,0.622009993
1626724800000,0.620475531
1626739200000,0.618741095
1626753600000,0.61713779
1626768000000,0.615736663
1626782400000,0.614377797
1626796800000,0.612895548
1626811200000,0.611524463
1626825600000,0.610065579
1626840000000,0.608603358
1626854400000,0.6074422
1626868800000,0.606403351
1626883200000,0.605315566
1626897600000,0.604273319
1626912000000,0.603113353
1626926400000,0.602129996
1626940800000,0.601046681
1626955200000,0.600239992
1626969600000,0.599452198
1626984000000,0.598784447
1626998400000,0.598334432
1627012800000,0.598106682
1627027200000,0.597736657
1627041600000,0.597265542
1627056000000,0.596796691
1627070400000,0.596661091
1627084800000,0.596575558
1627099200000,0.596490026
1627113600000,0.596449971
1627128000000,0.596102238
1627142400000,0.595784426
1627156800000,0.595472217
1627171200000,0.595142245
1627185600000,0.594944417
1627200000000,0.594704449
1627214400000,0.594394445
1627228800000,0.594164431
1627243200000,0.593955576
1627257600000,0.594361126
1627272000000,0.594731092
1627286400000,0.59509331
1627300800000,0.595378876
1627315200000,0.595727801
1627329600000,0.595582247
1627344000000,0.595286667
1627358400000,0.595006645
1627372800000,0.595071137
1627387200000,0.595193326
1627401600000,0.595294416
1627416000000,0.595466673
1627430400000,0.595610023
1627444800000,0.596615553
1627459200000,0.597756684
1627473600000,0.598735571
1627488000000,0.599832237
1627502400000,0.601088881
1627516800000,0.602281094
1627531200000,0.603455544
1627545600000,0.604503334
1627560000000,0.60549891
1627574400000,0.606568873
1627588800000,0.608004451
1627603200000,0.609571099
1627617600000,0.611098886
1627632000000,0.612406671
1627646400000,0.613755584
1627660800000,0.615314424
1627675200000,0.617038906
1627689600000,0.618600011
1627704000000,0.620167792
1627718400000,0.621998906
1627732800000,0.623611093
1627747200000,0.625248909
1627761600000,0.626988888
1627776000000,0.629159987
1627790400000,0.631210029
1627804800000,0.633255541
1627819200000,0.635216653
1627833600000,0.637054443
1627848000000,0.6386289
1627862400000,0.640116692
1627876800000,0.642034471
1627891200000,0.643828869
1627905600000,0.645697773
1627920000000,0.647417784
1627934400000,0.649104416
1627948800000,0.650668859
1627963200000,0.65215224
1627977600000,0.653754473
1627992000000,0.655428886
1628006400000,0.657068908
1628020800000,0.658800006
1628035200000,0.66088444
1628049600000,0.662817776
1628064000000,0.664857805
1628078400000,0.667012215
1628092800000,0.669221103
1628107200000,0.671472251
1628121600000,0.673648894
1628136000000,0.675584435
1628150400000,0.677326679
1628164800000,0.678987801
1628179200000,0.680832207
1628193600000,0.682635546
1628208000000,0.684468865
1628222400000,0.686203361
1628236800000,0.687935531
1628251200000,0.689625561
1628265600000,0.691341102
1628280000000,0.693064451
1628294400000,0.694932222
1628308800000,0.696741104
1628323200000,0.698971093
1628337600000,0.701414466
1628352000000,0.703864455
1628366400000,0.706174433
1628380800000,0.708505571
1628395200000,0.71086669
1628409600000,0.713022232
1628424000000,0.715038896
1628438400000,0.71701777
1628452800000,0.718922198
1628467200000,0.720938861
1628481600000,0.723045528
1628496000000,0.725491107
1628510400000,0.727970004
1628524800000,0.73039335
1628539200000,0.732746661
1628553600000,0.734399974
1628568000000,0.736221135
1628582400000,0.737941086
1628596800000,0.739825547
1628611200000,0.741750002
1628625600000,0.744291127
1628640000000,0.747153342
1628654400000,0.75013113
1628668800000,0.752851129
1628683200000,0.756115556
1628697600000,0.760945559
1628712000000,0.765036643
1628726400000,0.769283354
1628740800000,0.772477806
1628755200000,0.775258899
1628769600000,0.777907789
1628784000000,0.780736685
1628798400000,0.783327758
1628812800000,0.786580026
1628827200000,0.79032886
