ts_ms,sma_100
1624824000000,0.746390998
1624838400000,0.744075
1624852800000,0.741927028
1624867200000,0.739668012
1624881600000,0.73772198
1624896000000,0.735988021
1624910400000,0.734223008
1624924800000,0.732452989
1624939200000,0.730772018
1624953600000,0.729538977
1624968000000,0.728379011
1624982400000,0.727333009
1624996800000,0.72616601
1625011200000,0.724633992
1625025600000,0.723249972
1625040000000,0.721399009
1625054400000,0.719111025
1625068800000,0.717244029
1625083200000,0.715551972
1625097600000,0.713620007
1625112000000,0.711268008
1625126400000,0.70906198
1625140800000,0.706772029
1625155200000,0.704424024
1625169600000,0.702075005
1625184000000,0.699705005
1625198400000,0.697544992
1625212800000,0.695185006
1625227200000,0.69303
1625241600000,0.690822005
1625256000000,0.688703001
1625270400000,0.686752975
1625284800000,0.685184002
1625299200000,0.68344897
1625313600000,0.681855977
1625328000000,0.680085003
1625342400000,0.678252995
1625356800000,0.676441014
1625371200000,0.674901009
1625385600000,0.673538983
1625400000000,0.672066987
1625414400000,0.670688987
1625428800000,0.669228971
1625443200000,0.667653978
1625457600000,0.666490972
1625472000000,0.665212989
1625486400000,0.663796008
1625500800000,0.662594974
1625515200000,0.661154985
1625529600000,0.659834981
1625544000000,0.658644974
1625558400000,0.657406986
1625572800000,0.656443
1625587200000,0.655578971
1625601600000,0.654690027
1625616000000,0.654318988
1625630400000,0.653714001
1625644800000,0.652867019
1625659200000,0.651750028
1625673600000,0.651144981
1625688000000,0.650698006
1625702400000,0.650282025
1625716800000,0.649740994
1625731200000,0.649344027
1625745600000,0.649565995
1625760000000,0.649415016
1625774400000,0.649452984
1625788800000,0.649985015
1625803200000,0.650472999
1625817600000,0.650888979
1625832000000,0.651796997
1625846400000,0.652068973
1625860800000,0.651956975
1625875200000,0.651897013
1625889600000,0.651977003
1625904000000,0.652194977
1625918400000,0.652056992
1625932800000,0.651935995
1625947200000,0.651805997
1625961600000,0.651449978
1625976000000,0.651033998
1625990400000,0.650510013
1626004800000,0.650075018
1626019200000,0.649603009
1626033600000,0.649453998
1626048000000,0.649567008
1626062400000,0.649863005
1626076800000,0.650000989
1626091200000,0.650216997
1626105600000,0.650255978
1626120000000,0.650655985
1626134400000,0.650874972
1626148800000,0.651228011
1626163200000,0.651524007
1626177600000,0.651588976
1626192000000,0.651431978
1626206400000,0.651401997
1626220800000,0.651228011
1626235200000,0.651144028
1626249600000,0.651167989
1626264000000,0.650870025
1626278400000,0.650668979
1626292800000,0.650421023
1626307200000,0.650291026
1626321600000,0.649855971
1626336000000,0.649435997
1626350400000,0.649007976
1626364800000,0.648525
1626379200000,0.647888005
1626393600000,0.646836996
1626408000000,0.645713985
1626422400000,0.644391
1626436800000,0.643353999
1626451200000,0.642557025
1626465600000,0.641534984
1626480000000,0.640551984
1626494400000,0.639833987
1626508800000,0.638763011
1626523200000,0.637513995
1626537600000,0.636709988
1626552000000,0.635969996
1626566400000,0.635248005
1626580800000,0.634495974
1626595200000,0.633872986
1626609600000,0.633102
1626624000000,0.632538021
1626638400000,0.631906986
1626652800000,0.631362021
1626667200000,0.630681992
1626681600000,0.629922986
1626696000000,0.628955007
1626710400000,0.628099024
1626724800000,0.626914978
1626739200000,0.625460029
1626753600000,0.624054015
1626768000000,0.622496009
1626782400000,0.621093988
1626796800000,0.619696021
1626811200000,0.618008971
1626825600000,0.61638999
1626840000000,0.614899993
1626854400000,0.613454998
1626868800000,0.612186015
1626883200000,0.611018002
1626897600000,0.609964013
1626912000000,0.609125018
1626926400000,0.608367026
1626940800000,0.607429981
1626955200000,0.606805027
1626969600000,0.606130004
1626984000000,0.605273008
1626998400000,0.604622006
1627012800000,0.603983998
1627027200000,0.603280008
1627041600000,0.602487981
1627056000000,0.601635993
1627070400000,0.601050973
1627084800000,0.600436985
1627099200000,0.599915981
1627113600000,0.599308014
1627128000000,0.598846972
1627142400000,0.598497987
1627156800000,0.598389983
1627171200000,0.598170996
1627185600000,0.597968996
1627200000000,0.597718
1627214400000,0.597461998
1627228800000,0.597289026
1627243200000,0.597175002
1627257600000,0.597643971
1627272000000,0.597823024
1627286400000,0.598114014
1627300800000,0.59829998
1627315200000,0.598623991
1627329600000,0.598598003
1627344000000,0.598560989
1627358400000,0.59859103
1627372800000,0.598810017
1627387200000,0.59899199
1627401600000,0.59909898
1627416000000,0.599331021
1627430400000,0.599465013
1627444800000,0.600443006
1627459200000,0.601433992
1627473600000,0.602181971
1627488000000,0.602842987
1627502400000,0.603650987
1627516800000,0.604297996
1627531200000,0.605028987
1627545600000,0.605834007
1627560000000,0.606616974
1627574400000,0.607472003
1627588800000,0.608596981
1627603200000,0.609862983
1627617600000,0.611100972
1627632000000,0.612173975
1627646400000,0.613200009
1627660800000,0.614683986
1627675200000,0.61621201
1627689600000,0.617640018
1627704000000,0.618906021
1627718400000,0.620266974
1627732800000,0.621547997
1627747200000,0.622868001
1627761600000,0.624238014
1627776000000,0.625957012
1627790400000,0.627619982
1627804800000,0.629221976
1627819200000,0.630823016
1627833600000,0.632310987
1627848000000,0.633512974
1627862400000,0.634923995
1627876800000,0.636484981
1627891200000,0.638002992
1627905600000,0.639608979
1627920000000,0.641222
1627934400000,0.642781019
1627948800000,0.644254029
1627963200000,0.645614982
1627977600000,0.646808028
1627992000000,0.648081005
1628006400000,0.649208009
1628020800000,0.650479019
1628035200000,0.65169698
1628049600000,0.652939022
1628064000000,0.654145002
1628078400000,0.655543983
1628092800000,0.657020986
1628107200000,0.658497989
1628121600000,0.660091996
1628136000000,0.661705971
1628150400000,0.663240016
1628164800000,0.664847016
1628179200000,0.666899979
1628193600000,0.668911994
1628208000000,0.67098403
