ts_ms,horizontal_range,hr_start,hr_end,hor_upper,hor_lower,uptrend,uptrend_start,uptrend_end,downtrend,downtrend_start,downtrend_end,hr_uptrend,hr_downtrend,hr_start_marker,hr_end_marker,uptrend_start_marker,uptrend_end_marker,downtrend_start_marker,downtrend_end_marker,hr_breakout_attempt,hr_pending_breakout,hr_breakout_confirmed,hr_false_breakout,hr_reclaim,hr_break_direction,hr_break_extreme,hr_reclaim_marker
1543075200000,false,false,false,,,false,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1543089600000,false,false,false,,,false,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1543104000000,false,false,false,,,false,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1543118400000,false,false,false,,,false,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1543132800000,false,false,false,,,false,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1543147200000,false,false,false,,,false,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1543161600000,false,false,false,,,false,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1543176000000,false,false,false,,,false,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1543190400000,false,false,false,,,false,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1543204800000,false,false,false,,,false,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1543219200000,false,false,false,,,false,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1543233600000,false,false,false,,,false,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1543248000000,false,false,false,,,true,true,false,false,false,false,false,false,,,3502,,,,false,false,false,false,false,,,
1543262400000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1543276800000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1543291200000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1543305600000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1543320000000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1543334400000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1543348800000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1543363200000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1543377600000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1543392000000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
